##########################################################################
# N.B.: line starting with # is a comment
#
# Content:
# --------
# Solar System Abundances for all isotopes and Elements
#
# Source:
# -------
# Lodders, ApJ 591, 1220 (2003)
# http://adsabs.harvard.edu/abs/2003ApJ...591.1220L
# Solar System Abundances and Condensation Temperatures of the Elements
#
# Format:
# -------
# A line starting with "-->" provides the total elemental abundance
#   Col1: CR name
#   Col2: Isotopic fraction of abundance
#   Col3: Abundance (relative to Si = 1.e6)
##########################################################################

124Te   4.816     0.2319
125Te   7.139     0.3437
126Te   18.952    0.9125
128Te   31.687    1.526
130Te   33.799    1.627
-->      100      4.815
127I    100       0.9975
124Xe   0.129     0.00694
126Xe   0.112     0.00602
128Xe   2.23      0.120
129Xe   27.46     1.480
130Xe   4.38      0.236
131Xe   21.80     1.175
132Xe   26.36     1.421
134Xe   9.66      0.521
136Xe   7.87      0.424
-->      100      5.391
133Cs   100       0.3671
130Ba   0.1058    0.00460
132Ba   0.1012    0.00440
134Ba   2.417     0.1052
135Ba   6.592     0.2868
136Ba   7.853     0.3417
137Ba   11.232    0.4887
138Ba   71.699    3.120
-->      100      4.351
138La   0.09017   0.000397
139La   99.90983  0.4401
-->      100      0.4405
136Ce   0.186     0.00217
138Ce   0.251     0.00293
140Ce   88.449    1.0340
142Ce   11.114    0.1299
-->      100      1.169
141Pr   100       0.1737
142Nd   27.16     0.22689
143Nd   12.19     0.1018631
144Nd   23.83     0.1990728
145Nd   8.30      0.06934
146Nd   17.17     0.14344
148Nd   5.74      0.04795
150Nd   5.62      0.04695
-->      100      0.8355
144Sm   3.0734    0.00781
147Sm   14.9934   0.03811
148Sm   11.2406   0.0286
149Sm   13.8189   0.0351
150Sm   7.3796    0.0188
152Sm   26.7421   0.0680
154Sm   22.752    0.0578
-->      100      0.2542
151Eu   47.81     0.04548
153Eu   52.19     0.04965
-->      100      0.09513
152Gd   0.2029    0.00067
154Gd   2.1809    0.00724
155Gd   14.7998   0.04915
156Gd   20.4664   0.06797
157Gd   15.6518   0.05198
158Gd   24.8347   0.08248
160Gd   21.8635   0.07261
-->      100      0.3321
159Tb   100       0.05907
156Dy   0.056     0.000216
158Dy   0.096     0.000371
160Dy   2.34      0.00904
161Dy   18.91     0.0730
162Dy   25.51     0.0985
163Dy   24.9      0.0962
164Dy   28.19     0.1089
-->      100      0.3862
165Ho   100       0.08986
162Er   0.137     0.000350
164Er   1.609     0.004109
166Er   33.61     0.08584
167Er   22.93     0.05856
168Er   26.79     0.06842
170Er   14.93     0.03813
-->      100      0.2554
169Tm   100       0.0370
168Yb   0.13      0.000323
170Yb   3.04      0.007551
171Yb   14.28     0.03547
172Yb   21.83     0.05423
173Yb   16.13     0.04007
174Yb   31.83     0.07907
176Yb   12.76     0.03170
-->      100      0.2484
175Lu   97.416    0.03480
176Lu   2.584     0.000923
-->      100      0.03572
174Hf   0.1620    0.000275
176Hf   5.2502    0.0089201
177Hf		18.5973   0.0315968
178Hf   27.2840   0.046356
179Hf   13.6225   0.023145
180Hf   35.0840   0.059608
-->      100      0.1699
180Ta   0.0123    0.00000258
181Ta   99.9877   0.020987
-->      100      0.02099
180W    0.1198    0.000153
182W    26.4985   0.03384
183W    14.3136   0.01828
184W    30.6422   0.03913
186W    28.4259   0.03630
-->      100      0.1277
185Re   37.398    0.01965
187Re   62.602    0.03289
-->      100      0.05254
184Os   0.0198    0.000133
186Os   1.5922    0.010728
187Os   1.644     0.011080
188Os   13.2865   0.089524
189Os   16.1992   0.10915
190Os   26.3438   0.17750
192Os   40.9142   0.27568
-->      100      0.6738
191Ir   37.272    0.2403
193Ir   62.728    0.4045
-->      100      0.6448
190Pt   0.013634  0.000185
192Pt   0.78266   0.01062
194Pt   32.967    0.44736
195Pt   33.83156  0.45909
196Pt   25.24166  0.34253
198Pt   7.16349   0.09721
-->      100      1.357
197Au   100       0.1955
196Hg   0.15344   0.00063
198Hg   9.968     0.0411
